first_name,last_name,password,work_email,contact_number
Harry,Allen,password,emily_williams@mail.com,91111111
Michael,Smith,password,michaelSmith@mail.com,91111112
David,Brown,password,david_brown@mail.com,91111113
Jennifer,Davis,password,jennifer_davis@mail.com,91111114
Christopher,Martinez,password,christopher_martinez@mail.com,91111115
Jessica,Taylor,password,jessica_taylor@mail.com,91111116
Tyler,Covington,password,tylerCovington@mail.com,91111117
Daniel,Wilson,password,danielWilson@mail.com,91111118
Sarah,Johnson,password,sarah_johnson@mail.com,91111119
Jennifer,Tay,password,jennifer_tay@mail.com,91111121
Melissa,Jones,password,melissa_jones@mail.com,91111122
